0x00	0x0000	# (JIS=0) NULL
0x01	0x0001	# (JIS=0) START OF HEADING
0x02	0x0002	# (JIS=0) START OF TEXT
0x03	0x0003	# (JIS=0) END OF TEXT
0x04	0x0004	# (JIS=0) END OF TRANSMISSION
0x05	0x0005	# (JIS=0) ENQUIRY
0x06	0x0006	# (JIS=0) ACKNOWLEDGE
0x07	0x0007	# (JIS=0) BELL
0x08	0x0008	# (JIS=0) BACKSPACE
0x09	0x0009	# (JIS=0) CHARACTER TABULATION
0x0a	0x000a	# (JIS=0) LINE FEED (LF)
0x0b	0x000b	# (JIS=0) LINE TABULATION
0x0c	0x000c	# (JIS=0) FORM FEED (FF)
0x0d	0x000d	# (JIS=0) CARRIAGE RETURN (CR)
0x0e	0x000e	# (JIS=0) SHIFT OUT
0x0f	0x000f	# (JIS=0) SHIFT IN
0x10	0x0010	# (JIS=0) DATA LINK ESCAPE
0x11	0x0011	# (JIS=0) DEVICE CONTROL ONE
0x12	0x0012	# (JIS=0) DEVICE CONTROL TWO
0x13	0x0013	# (JIS=0) DEVICE CONTROL THREE
0x14	0x0014	# (JIS=0) DEVICE CONTROL FOUR
0x15	0x0015	# (JIS=0) NEGATIVE ACKNOWLEDGE
0x16	0x0016	# (JIS=0) SYNCHRONOUS IDLE
0x17	0x0017	# (JIS=0) END OF TRANSMISSION BLOCK
0x18	0x0018	# (JIS=0) CANCEL
0x19	0x0019	# (JIS=0) END OF MEDIUM
0x1a	0x001a	# (JIS=0) SUBSTITUTE
0x1b	0x001b	# (JIS=0) ESCAPE
0x1c	0x001c	# (JIS=0) INFORMATION SEPARATOR FOUR
0x1d	0x001d	# (JIS=0) INFORMATION SEPARATOR THREE
0x1e	0x001e	# (JIS=0) INFORMATION SEPARATOR TWO
0x1f	0x001f	# (JIS=0) INFORMATION SEPARATOR ONE
0x20	0x0020	# (JIS=0) SPACE
0x21	0x0021	# (JIS=0) EXCLAMATION MARK
0x22	0x0022	# (JIS=0) QUOTATION MARK
0x23	0x0023	# (JIS=0) NUMBER SIGN
0x24	0x0024	# (JIS=0) DOLLAR SIGN
0x25	0x0025	# (JIS=0) PERCENT SIGN
0x26	0x0026	# (JIS=0) AMPERSAND
0x27	0x0027	# (JIS=0) APOSTROPHE
0x28	0x0028	# (JIS=0) LEFT PARENTHESIS
0x29	0x0029	# (JIS=0) RIGHT PARENTHESIS
0x2a	0x002a	# (JIS=0) ASTERISK
0x2b	0x002b	# (JIS=0) PLUS SIGN
0x2c	0x002c	# (JIS=0) COMMA
0x2d	0x002d	# (JIS=0) HYPHEN-MINUS
0x2e	0x002e	# (JIS=0) FULL STOP
0x2f	0x002f	# (JIS=0) SOLIDUS
0x30	0x0030	# (JIS=0) DIGIT ZERO
0x31	0x0031	# (JIS=0) DIGIT ONE
0x32	0x0032	# (JIS=0) DIGIT TWO
0x33	0x0033	# (JIS=0) DIGIT THREE
0x34	0x0034	# (JIS=0) DIGIT FOUR
0x35	0x0035	# (JIS=0) DIGIT FIVE
0x36	0x0036	# (JIS=0) DIGIT SIX
0x37	0x0037	# (JIS=0) DIGIT SEVEN
0x38	0x0038	# (JIS=0) DIGIT EIGHT
0x39	0x0039	# (JIS=0) DIGIT NINE
0x3a	0x003a	# (JIS=0) COLON
0x3b	0x003b	# (JIS=0) SEMICOLON
0x3c	0x003c	# (JIS=0) LESS-THAN SIGN
0x3d	0x003d	# (JIS=0) EQUALS SIGN
0x3e	0x003e	# (JIS=0) GREATER-THAN SIGN
0x3f	0x003f	# (JIS=0) QUESTION MARK
0x40	0x0040	# (JIS=0) COMMERCIAL AT
0x41	0x0041	# (JIS=0) LATIN CAPITAL LETTER A
0x42	0x0042	# (JIS=0) LATIN CAPITAL LETTER B
0x43	0x0043	# (JIS=0) LATIN CAPITAL LETTER C
0x44	0x0044	# (JIS=0) LATIN CAPITAL LETTER D
0x45	0x0045	# (JIS=0) LATIN CAPITAL LETTER E
0x46	0x0046	# (JIS=0) LATIN CAPITAL LETTER F
0x47	0x0047	# (JIS=0) LATIN CAPITAL LETTER G
0x48	0x0048	# (JIS=0) LATIN CAPITAL LETTER H
0x49	0x0049	# (JIS=0) LATIN CAPITAL LETTER I
0x4a	0x004a	# (JIS=0) LATIN CAPITAL LETTER J
0x4b	0x004b	# (JIS=0) LATIN CAPITAL LETTER K
0x4c	0x004c	# (JIS=0) LATIN CAPITAL LETTER L
0x4d	0x004d	# (JIS=0) LATIN CAPITAL LETTER M
0x4e	0x004e	# (JIS=0) LATIN CAPITAL LETTER N
0x4f	0x004f	# (JIS=0) LATIN CAPITAL LETTER O
0x50	0x0050	# (JIS=0) LATIN CAPITAL LETTER P
0x51	0x0051	# (JIS=0) LATIN CAPITAL LETTER Q
0x52	0x0052	# (JIS=0) LATIN CAPITAL LETTER R
0x53	0x0053	# (JIS=0) LATIN CAPITAL LETTER S
0x54	0x0054	# (JIS=0) LATIN CAPITAL LETTER T
0x55	0x0055	# (JIS=0) LATIN CAPITAL LETTER U
0x56	0x0056	# (JIS=0) LATIN CAPITAL LETTER V
0x57	0x0057	# (JIS=0) LATIN CAPITAL LETTER W
0x58	0x0058	# (JIS=0) LATIN CAPITAL LETTER X
0x59	0x0059	# (JIS=0) LATIN CAPITAL LETTER Y
0x5a	0x005a	# (JIS=0) LATIN CAPITAL LETTER Z
0x5b	0x005b	# (JIS=0) LEFT SQUARE BRACKET
0x5c	0x00a5	# (JIS=0) YEN SIGN
0x5d	0x005d	# (JIS=0) RIGHT SQUARE BRACKET
0x5e	0x005e	# (JIS=0) CIRCUMFLEX ACCENT
0x5f	0x005f	# (JIS=0) LOW LINE
0x60	0x0060	# (JIS=0) GRAVE ACCENT
0x61	0x0061	# (JIS=0) LATIN SMALL LETTER A
0x62	0x0062	# (JIS=0) LATIN SMALL LETTER B
0x63	0x0063	# (JIS=0) LATIN SMALL LETTER C
0x64	0x0064	# (JIS=0) LATIN SMALL LETTER D
